uniprot_id	protein	sector	sector_short
Q9S4Y7	HTH-type transcriptional activator AllS	Other	Oth
Q9X6G2	Ribosomal RNA small subunit methyltransferase J (EC 2.1.1.242)	Translation and protein homeostasis	Rib
H9L408	Fimbrial subunit	Flagellum and motility including its regulation	Fla
H9L409	Minor fimbrial subunit	Flagellum and motility including its regulation	Fla
H9L411	Periplasmic fimbrial chaperone	Flagellum and motility including its regulation	Fla
H9L412	Fimbrial subunit	Flagellum and motility including its regulation	Fla
H9L413	Membrane protein	Lipid and cell wall metabolism	Lpb
H9L414	Salmonella plasmid virulence: outer membrane protein	Lipid and cell wall metabolism	Lpb
H9L417	Response regulator	Other	Oth
H9L420	Gifsy-1 prophage protein (Gifsy-2 prophage putative regulatory protein)	Other	Oth
H9L421	Conjugative transfer: assembly	Other	Oth
H9L422	Gifsy-2 prophage probable minor tail protein	Other	Oth
H9L423	Gifsy-2 prophage probable minor tail protein	Other	Oth
H9L424	Cytoplasmic protein	Other	Oth
H9L425	Invasol SirA	Other	Oth
H9L426	Secretion system chaparone	Flagellum and motility including its regulation	Fla
H9L429	Outer membrane protein	Lipid and cell wall metabolism	Lpb
H9L430	Relaxosome protein TraY	Other	Oth
H9L432	Inner membrane protein	Other	Oth
H9L434	Inner membrane protein	Other	Oth
H9L437	Cytoplasmic protein	Other	Oth
H9L439	Plasmid-encoded fimbriae regulation	Flagellum and motility including its regulation	Fla
H9L441	Gifsy-2 prophage protein	Other	Oth
H9L444	Gifsy-1 prophage protein (Gifsy-2 prophage putative regulatory protein)	Other	Oth
H9L445	Gifsy-1 prophage protein (Gifsy-2 prophage protein)	Other	Oth
H9L446	Secretion system effector	Flagellum and motility including its regulation	Fla
H9L447	Gifsy-2 prophage protein	Other	Oth
H9L448	Gifsy-2 prophage protein	Other	Oth
H9L450	Conjugative transfer: regulation	Other	Oth
H9L453	Transcriptional regulator	Other	Oth
H9L454	Permease of the Na+:galactoside symporter family	Transport	Tra
H9L455	AutoTransported protein	Flagellum and motility including its regulation	Fla
H9L457	LysR family transcriptional regulator	Other	Oth
H9L458	Cytoplasmic protein	Other	Oth
H9L459	Phage-tail assembly protein-like protein	Other	Oth
H9L462	Catalase	Other	Oth
H9L464	Cytoplasmic protein	Other	Oth
H9L465	Outer membrane protein	Lipid and cell wall metabolism	Lpb
H9L466	Bacterial regulatory proteins, luxR family	Other	Oth
H9L467	Resolvase	Other	Oth
H9L468	Gifsy-1 prophage protein (Gifsy-2 prophage protein)	Other	Oth
H9L469	Transmembrane protein	Other	Oth
H9L471	Regulatory proteins, merR family	Other	Oth
H9L472	SsrAB activated protein	Other	Oth
H9L473	Regulator of sigma E (Sigma 24) factor	Other	Oth
H9L474	Transcriptional regulator	Other	Oth
H9L475	Plasmid-encoded fimbriae regulatory	Flagellum and motility including its regulation	Fla
H9L476	Transposase	Other	Oth
H9L480	Secretion system apparatus	Flagellum and motility including its regulation	Fla
H9L481	Homolog of virK	Other	Oth
H9L482	Fimbrial subunit	Flagellum and motility including its regulation	Fla
H9L485	Protein TraL	Other	Oth
H9L488	Colanic acid polymerase	Lipid and cell wall metabolism	Lpb
H9L489	SsrAB activated protein	Other	Oth
H9L491	Secretion system chaparone	Flagellum and motility including its regulation	Fla
H9L496	Secretion system apparatus	Flagellum and motility including its regulation	Fla
H9L497	Export protein	Other	Oth
H9L498	Plasmid-encoded fimbriae major fimbrial subunit	Flagellum and motility including its regulation	Fla
H9L4A0	Secretion system effector	Flagellum and motility including its regulation	Fla
H9L4A5	NCS2 family uracil Transport protein	Transport	Tra
H9L4A6	Transcriptional regulatory protein	Other	Oth
H9L4A8	Fimbrial subunit	Flagellum and motility including its regulation	Fla
H9L4A9	Minor fimbrial subunit	Flagellum and motility including its regulation	Fla
H9L4B1	Inner membrane protein	Other	Oth
H9L4B3	Sugar fermentation stimulation protein B (Ner-like protein)	Carbon metabolism	Cbn
H9L4B4	Cytoplasmic protein	Other	Oth
H9L4B5	Suppression of copper sensitivity: putative copper binding protein	Other	Oth
H9L4B8	Outer membrane protein	Lipid and cell wall metabolism	Lpb
H9L4B9	Cytoplasmic protein	Other	Oth
H9L4C1	Suppression of copper sensitivity protein	Other	Oth
H9L4C4	Cytoplasmic protein	Other	Oth
O54290	Inner membrane protein YcdZ	Other	Oth
O68927	Leader peptidase HopD	Translation and protein homeostasis	Rib
O87663	Uncharacterized protein YadU	Other	Oth
P0A1S6	Uncharacterized protein YaeQ	Other	Oth
P0A1T0	Uncharacterized protein YmdA	Other	Oth
P0A1T8	Uncharacterized protein YigF	Other	Oth
P0A1U4	Uncharacterized protein YjaG	Other	Oth
P0A1U8	Uncharacterized protein YiiY	Other	Oth
P0A1V0	Uncharacterized protein YtgA	Other	Oth
P0A1W0	pyr operon leader peptide (pyrBI operon attenuator)	Translation and protein homeostasis	Rib
P0A214	Multiple antibiotic resistance protein MarB	Other	Oth
P0A239	Secretion system apparatus protein SsaP	Flagellum and motility including its regulation	Fla
P0A2L1	UPF0047 protein YjbQ	Other	Oth
P0A2L7	UPF0125 protein YfjF	Other	Oth
P0A2M3	UPF0181 protein YoaH	Other	Oth
P0A2P4	UPF0270 protein YheU	Other	Oth
P0AA34	Putative sulfur carrier protein YedF	Amino acid biosynthesis	Aab
P0C0T3	Protein DsrB	Electron Transport chain	Etc
P0C5Y6	UPF0509 protein YciZ	Other	Oth
P0CI68	mgtA leader peptide (Regulatory leader peptide for mgtA)	Translation and protein homeostasis	Rib
P0CL15	Invasion protein IagB	Flagellum and motility including its regulation	Fla
P0CL44	Oxygen-regulated invasion protein OrgA	Flagellum and motility including its regulation	Fla
P16656	Uncharacterized protein YcjE	Other	Oth
P26389	Colanic acid biosynthesis protein WcaM	Lipid and cell wall metabolism	Lpb
P37414	Uncharacterized protein pSLT049	Other	Oth
P37463	Citrate utilization protein B	Carbon metabolism	Cbn
P37771	Uncharacterized protein YhfG	Other	Oth
P40195	Uncharacterized protein YfeK	Other	Oth
P40196	Uncharacterized protein YfeL	Other	Oth
P40784	Tail fiber assembly protein homolog from lambdoid prophage Fels-1	Other	Oth
P40822	Uncharacterized lipoprotein YceB	Lipid and cell wall metabolism	Lpb
P40824	Uncharacterized protein YibR	Other	Oth
P55886	Uncharacterized protein YigA	Other	Oth
P57015	Uncharacterized protein YifB	Other	Oth
P60084	Protein Syd	Other	Oth
P60817	UPF0304 protein YfbU	Other	Oth
P60822	UPF0306 protein YhbP	Other	Oth
P60997	his operon leader peptide (his operon attenuator peptide)	Translation and protein homeostasis	Rib
P62362	UPF0319 protein YccT	Other	Oth
P62527	ilv operon leader peptide (ilvGMEDA operon attenuator peptide)	Translation and protein homeostasis	Rib
P64267	Protein gns	Other	Oth
P64437	Uncharacterized protein YbgS	Other	Oth
P64501	Uncharacterized protein YebO	Other	Oth
P65641	Protein bdm homolog	Other	Oth
P66822	Protein Smg	Other	Oth
P67091	Universal stress protein F	Other	Oth
P67093	Universal stress protein G	Other	Oth
P67286	UPF0145 protein YbjQ	Other	Oth
P67334	UPF0178 protein YaiI	Other	Oth
P67349	UPF0213 protein YhbQ	Other	Oth
P67366	UPF0227 protein YcfP	Other	Oth
P67537	UPF0250 protein YbeD	Other	Oth
P67551	UPF0253 protein YaeP	Other	Oth
P74854	Secretion system apparatus protein SsaL	Flagellum and motility including its regulation	Fla
P74855	Secretion system apparatus protein SsaM	Flagellum and motility including its regulation	Fla
P74858	Secretion system apparatus protein SsaO	Flagellum and motility including its regulation	Fla
Q06399	Uncharacterized lipoprotein YedD	Other	Oth
Q1G0K7	Gifsy-2 prophage protein	Other	Oth
Q1G0L5	Gifsy-2 prophage excisionase	Other	Oth
Q4AAY3	Fels-2 prophage protein	Other	Oth
Q4AAY4	Fels-2 prophage protein	Other	Oth
Q4AAY5	Gifsy-1 prophage protein	Other	Oth
Q4AAY6	Gifsy-1 prophage protein	Other	Oth
Q4AAY7	Gifsy-1 prophage protein	Other	Oth
Q4AAY8	Gifsy-1 prophage protein	Other	Oth
Q4AAY9	Gifsy-1 prophage protein	Other	Oth
Q4AAZ0	Gifsy-1 prophage protein	Other	Oth
Q56109	Protein NrdI	Electron Transport chain	Etc
Q7CP62	Inner membrane protein	Other	Oth
Q7CP64	Protein CreA (Catabolite regulation protein A)	Other	Oth
Q7CP68	Osmotically-inducible protein Y	Other	Oth
Q7CP69	Outer membrane protein	Lipid and cell wall metabolism	Lpb
Q7CP70	Cytoplasmic protein	Other	Oth
Q7CP71	Cytoplasmic protein	Other	Oth
Q7CP72	Inner membrane protein	Other	Oth
Q7CP74	Permease	Transport	Tra
Q7CP75	LysR family transcriptional regulator	Other	Oth
Q7CP77	UPF0386 protein YjhX	Other	Oth
Q7CP79	Inner membrane protein	Other	Oth
Q7CP80	CopG family helix-turn-helix protein	Other	Oth
Q7CP81	Inner membrane protein	Other	Oth
Q7CP82	Cytoplasmic protein	Other	Oth
Q7CP83	Cytoplasmic protein	Other	Oth
Q7CP87	Gamma-glutamylcyclotransferase family protein	Amino acid biosynthesis	Aab
Q7CP90	Transcriptional regulator	Other	Oth
Q7CP95	Inner membrane protein	Other	Oth
Q7CP99	Entericidin B	Other	Oth
Q7CPA0	Outer membrane lipoprotein	Lipid and cell wall metabolism	Lpb
Q7CPA3	LuxR family bacterial regulatory proteins	Other	Oth
Q7CPA4	Protein YjdM	Other	Oth
Q7CPA6	Regulator of melibiose operon	Other	Oth
Q7CPA7	Cytoplasmic protein	Other	Oth
Q7CPA8	Inner membrane protein	Other	Oth
Q7CPA9	Inner membrane protein	Other	Oth
Q7CPB1	Inner membrane protein	Other	Oth
Q7CPB2	UPF0337 protein YjbJ	Other	Oth
Q7CPB5	Outer membrane protein	Lipid and cell wall metabolism	Lpb
Q7CPB6	Cytoplasmic protein	Other	Oth
Q7CPB7	Cytoplasmic protein	Other	Oth
Q7CPC2	Inner membrane protein	Other	Oth
Q7CPC5	Branched-chain amino acid permease	Transport	Tra
Q7CPD1	Cytoplasmic protein	Other	Oth
Q7CPD2	Spot 42 RNA, inhibition of DNA synthesis	Other	Oth
Q7CPD3	Protein YihD	Other	Oth
Q7CPD6	Inner membrane protein	Other	Oth
Q7CPE0	Initiation of chromosome replication	Other	Oth
Q7CPE8	Cytoplasmic protein	Other	Oth
Q7CPF2	IlvB operon leader peptide	Translation and protein homeostasis	Rib
Q7CPF4	DeoR family regulatory protein	Other	Oth
Q7CPF6	L-fucose permease	Transport	Tra
Q7CPF7	GntR family regulatory protein	Other	Oth
Q7CPG1	Uncharacterized protein YicS	Other	Oth
Q7CPG6	Inner membrane protein	Other	Oth
Q7CPH2	NCS2 family purine/xanthine Transport protein	Transport	Tra
Q7CPH6	Uncharacterized protein YibN	Other	Oth
Q7CPH9	Cytoplasmic protein	Other	Oth
Q7CPI3	Acetyltransferase	Other	Oth
Q7CPI4	Outer membrane lipoprotein	Lipid and cell wall metabolism	Lpb
Q7CPI9	Cytoplasmic protein	Other	Oth
Q7CPJ0	tRNA-processing ribonuclease	Translation and protein homeostasis	Rib
Q7CPJ3	Inner membrane lipoprotein DcrB	Other	Oth
Q7CPJ5	Inner membrane protein	Other	Oth
Q7CPJ8	Cytoplasmic protein	Other	Oth
Q7CPK1	Phosphotriesterase	Other	Oth
Q7CPK8	Outer membrane lipoprotein	Lipid and cell wall metabolism	Lpb
Q7CPL0	Cytoplasmic protein	Other	Oth
Q7CPL1	Cytoplasmic protein	Other	Oth
Q7CPL2	Regulator	Other	Oth
Q7CPL8	Outer membrane lipoprotein	Lipid and cell wall metabolism	Lpb
Q7CPM5	Suppresses inhibitory activity of CsrA	Other	Oth
Q7CPM6	LysR family transcriptional regulator	Other	Oth
Q7CPM7	Protein AaeX	Transport	Tra
Q7CPM9	Cytoplasmic protein	Other	Oth
Q7CPN0	Periplasmic protein	Other	Oth
Q7CPN5	FeS oxidoreductase	Electron Transport chain	Etc
Q7CPN6	Cytoplasmic protein	Other	Oth
Q7CPP5	Acid stress protein IbaG	Other	Oth
Q7CPQ3	Uncharacterized N-acetyltransferase YhbS	Translation and protein homeostasis	Rib
Q7CPQ5	Intracellular proteinase	Translation and protein homeostasis	Rib
Q7CPQ9	Cytoplasmic protein	Other	Oth
Q7CPR0	Inner membrane protein	Other	Oth
Q7CPR1	Inner membrane protein	Other	Oth
Q7CPR2	Inner membrane protein	Other	Oth
Q7CPR3	Inner membrane protein	Other	Oth
Q7CPR4	Periplasmic protein	Other	Oth
Q7CPR8	SH3 domain protein	Other	Oth
Q7CPS0	Glutathionylspermidine synthase	Amino acid biosynthesis	Aab
Q7CPS1	UPF0441 protein YgiB	Other	Oth
Q7CPS3	Probable quinol monooxygenase YgiN	Electron Transport chain	Etc
Q7CPS5	Inner membrane protein	Other	Oth
Q7CPS7	Cytoplasmic protein	Other	Oth
Q7CPT3	Permease	Transport	Tra
Q7CPT6	Inner membrane protein	Other	Oth
Q7CPT8	Integral membrane resistance protein	Other	Oth
Q7CPU0	Uncharacterized protein YqgB	Other	Oth
Q7CPU4	Inner membrane protein	Other	Oth
Q7CPU8	Periplasmic immunogenic protein	Other	Oth
Q7CPV0	Hemolysin	Other	Oth
Q7CPV4	Inner membrane protein	Other	Oth
Q7CPV5	Positive LysR family transcriptional regulator	Other	Oth
Q7CPV6	Integral membrane Transport protein	Transport	Tra
Q7CPV7	SufE protein probably involved in Fe-S center assembly	Electron Transport chain	Etc
Q7CPV8	Lipoprotein	Lipid and cell wall metabolism	Lpb
Q7CPW0	Small membrane protein	Other	Oth
Q7CPW6	Inner membrane protein	Other	Oth
Q7CPW9	Acetyltransferase	Translation and protein homeostasis	Rib
Q7CPY0	Transcriptional repressor of hyc and hyp operons	Other	Oth
Q7CPY2	Hydrogenase 3	Electron Transport chain	Etc
Q7CPY3	Electron Transport protein (FeS center) from formate to hydrogen	Electron Transport chain	Etc
Q7CPY4	Transcriptional repressor for glucitol operon	Other	Oth
Q7CPY5	Glucitol (Srl) operon regulatory protein	Other	Oth
Q7CPY7	Phosphoglucomutase	Carbon metabolism	Cbn
Q7CPY8	Inner membrane protein	Other	Oth
Q7CPY9	Transcriptional repressor MprA (Protein EmrR)	Other	Oth
Q7CPZ0	YqaE family Transport protein	Transport	Tra
Q7CPZ1	GntR family transcriptional repressor	Other	Oth
Q7CPZ2	Oligoketide cyclase/lipid Transport protein	Lipid and cell wall metabolism	Lpb
Q7CPZ5	Membrane protein	Other	Oth
Q7CPZ6	Cytochrome c-type biogenesis protein	Electron Transport chain	Etc
Q7CPZ9	Uncharacterized protein	Other	Oth
Q7CQ00	Ribosome associated factor	Translation and protein homeostasis	Rib
Q7CQ02	Outer membrane lipoprotein	Lipid and cell wall metabolism	Lpb
Q7CQ09	MFS family Transport protein	Transport	Tra
Q7CQ22	PerM family permease	Transport	Tra
Q7CQ26	Cytoplasmic protein	Other	Oth
Q7CQ27	Iron-dependent peroxidase	Other	Oth
Q7CQ28	Negative regulator	Other	Oth
Q7CQ29	Periplasmic protein	Other	Oth
Q7CQ31	Inner membrane protein	Other	Oth
Q7CQ32	Lipoprotein	Lipid and cell wall metabolism	Lpb
Q7CQ33	UPF0381 protein YfcZ	Other	Oth
Q7CQ34	Probable membrane Transporter protein	Transport	Tra
Q7CQ35	Cytoplasmic protein	Other	Oth
Q7CQ39	Aspartate-semialdehyde dehydrogenase	Amino acid biosynthesis	Aab
Q7CQ40	DedA family	Other	Oth
Q7CQ42	Membrane protein required for colicin V production	Other	Oth
Q7CQ45	Integral membrane protein	Other	Oth
Q7CQ48	Cytoplasmic protein	Other	Oth
Q7CQ54	Protein ElaA	Other	Oth
Q7CQ55	Inner membrane protein	Other	Oth
Q7CQ58	MFS family Transport protein	Transport	Tra
Q7CQ59	Uncharacterized ferredoxin-like protein YfaE	Electron Transport chain	Etc
Q7CQ68	Virulence protein MsgA-like protein	Other	Oth
Q7CQ70	UPF0352 protein YejL	Other	Oth
Q7CQ72	ATP-dependent helicase	Other	Oth
Q7CQ73	Cytoplasmic protein	Other	Oth
Q7CQ76	Cobalamin synthesis protein	Other	Oth
Q7CQ77	Inner membrane protein	Other	Oth
Q7CQ79	Inner membrane protein	Other	Oth
Q7CQ80	Transmembrane protein	Other	Oth
Q7CQ82	LysR family transcriptional regulator	Other	Oth
Q7CQ83	Sugar Transporter	Transport	Tra
Q7CQ85	Cytoplasmic protein	Other	Oth
Q7CQ87	DedA family, membrane protein	Other	Oth
Q7CQ88	Transport protein	Transport	Tra
Q7CQ90	UPF0387 membrane protein YohO	Other	Oth
Q7CQ91	Lipoprotein	Lipid and cell wall metabolism	Lpb
Q7CQ92	Outer membrane protein	Lipid and cell wall metabolism	Lpb
Q7CQ93	Fimbrial-like protein	Flagellum and motility including its regulation	Fla
Q7CQ94	Periplasmic protein	Other	Oth
Q7CQ95	GntR family regulatory protein	Other	Oth
Q7CQ96	MFS family Transport protein	Transport	Tra
Q7CQA9	Protein YeeZ	Other	Oth
Q7CQB0	LysR family transcriptional regulator	Other	Oth
Q7CQB3	Cytoplasmic protein	Other	Oth
Q7CQB7	Cytoplasmic protein	Other	Oth
Q7CQC1	Cytoplasmic protein	Other	Oth
Q7CQC3	Cytoplasmic protein	Other	Oth
Q7CQC5	Inner membrane protein YecN	Other	Oth
Q7CQC6	Cytoplasmic protein	Other	Oth
Q7CQC7	Isochorismatase	Carbon metabolism	Cbn
Q7CQD3	Inner membrane protein	Other	Oth
Q7CQD6	Cytoplasmic protein	Other	Oth
Q7CQE1	Outer membrane protein	Lipid and cell wall metabolism	Lpb
Q7CQE2	Fumarylacetoacetate (FAA) hydrolase family protein	Carbon metabolism	Cbn
Q7CQE3	Cytoplasmic protein	Other	Oth
Q7CQE5	Transglycosylase-associated protein	Lipid and cell wall metabolism	Lpb
Q7CQE6	Hydrogenase-1 protein	Electron Transport chain	Etc
Q7CQE7	Hydrogenase maturation protease	Electron Transport chain	Etc
Q7CQE9	Cation Transport regulator	Transport	Tra
Q7CQF0	Protein YchN	Other	Oth
Q7CQF4	UPF0056 inner membrane protein	Other	Oth
Q7CQF5	Protein YciI	Other	Oth
Q7CQF6	Ferredoxin	Electron Transport chain	Etc
Q7CQF8	Cytoplasmic protein	Other	Oth
Q7CQF9	Cytoplasmic protein	Other	Oth
Q7CQG0	Cytoplasmic protein	Other	Oth
Q7CQG1	Uncharacterized protein YciO	Other	Oth
Q7CQG2	Oxoacyl-(Acyl carrier protein) reductase	Lipid and cell wall metabolism	Lpb
Q7CQG4	Protein YciN	Other	Oth
Q7CQG7	DeoR family regulatory protein	Other	Oth
Q7CQG8	Phage shock protein	Other	Oth
Q7CQG9	Phage shock protein	Other	Oth
Q7CQH0	Inner membrane protein	Other	Oth
Q7CQH3	Cytoplasmic protein	Other	Oth
Q7CQH4	Heat shock protein hslJ	Translation and protein homeostasis	Rib
Q7CQH5	Outer membrane lipoprotein	Lipid and cell wall metabolism	Lpb
Q7CQH6	DeoR family transcriptional repressor of sgc operon	Other	Oth
Q7CQH9	Periplasmic protein	Other	Oth
Q7CQI6	GntR family regulatory protein	Other	Oth
Q7CQI7	Outer membrane lipoprotein	Lipid and cell wall metabolism	Lpb
Q7CQJ2	GntR family regulatory protein	Other	Oth
Q7CQJ3	Hydrogenase	Electron Transport chain	Etc
Q7CQJ4	Cytoplasmic protein	Other	Oth
Q7CQJ5	GntR family regulatory protein	Other	Oth
Q7CQJ6	Cytoplasmic protein	Other	Oth
Q7CQJ7	UPF0482 protein YnfB	Other	Oth
Q7CQJ8	MFS familty Transport protein	Transport	Tra
Q7CQK2	Membrane Transport protein	Transport	Tra
Q7CQK6	Inner membrane protein	Other	Oth
Q7CQK8	TetR/AcrR family transcriptional repressor	Other	Oth
Q7CQN6	Cytoplasmic protein	Other	Oth
Q7CQN8	Probable ketoamine kinase YniA	Carbon metabolism	Cbn
Q7CQN9	Regulator	Other	Oth
Q7CQP1	Transcriptional repressor of cel operon	Other	Oth
Q7CQP3	Osmotically-inducible putative lipoprotein OsmE (Activator of ntr-like gene protein)	Other	Oth
Q7CQP5	Cytoplasmic protein	Other	Oth
Q7CQP6	Scaffolding protein for murein-synthesizing holoenzyme	Lipid and cell wall metabolism	Lpb
Q7CQP7	Inner membrane protein	Other	Oth
Q7CQQ1	Inner membrane protein	Other	Oth
Q7CQQ5	Outer membrane lipoprotein	Lipid and cell wall metabolism	Lpb
Q7CQQ9	Outer membrane lipoprotein	Lipid and cell wall metabolism	Lpb
Q7CQR2	UPF0502 protein YceH	Other	Oth
Q7CQR3	Glutaredoxin 2	Translation and protein homeostasis	Rib
Q7CQR4	Inner membrane protein	Other	Oth
Q7CQR6	Acidic protein suppresses mutants lacking function of protein export	Other	Oth
Q7CQR7	Outer membrane lipoprotein	Lipid and cell wall metabolism	Lpb
Q7CQR8	Oxidoreductase component	Electron Transport chain	Etc
Q7CQS0	Protein PhoH (Phosphate starvation-inducible protein PsiH)	Other	Oth
Q7CQS3	Chaperone modulatory protein CbpM	Translation and protein homeostasis	Rib
Q7CQS6	Pathogenicity island encoded protein: SPI5	Other	Oth
Q7CQT1	Cytoplasmic protein	Other	Oth
Q7CQT3	Inner membrane protein YccF	Other	Oth
Q7CQT4	Outer membrane protein	Lipid and cell wall metabolism	Lpb
Q7CQT5	Paraquat-inducible protein A	Other	Oth
Q7CQT7	Methyltransferase activator Trm112 homolog	Translation and protein homeostasis	Rib
Q7CQU6	Transcriptional regulator, lysR family	Other	Oth
Q7CQU9	Nucleoside-diphosphate-sugar epimerase	Carbon metabolism	Cbn
Q7CQV3	Cytoplasmic protein	Other	Oth
Q7CQV6	Hydrolase of the HAD superfamily	Carbon metabolism	Cbn
Q7CQW3	Periplasmic protein	Other	Oth
Q7CQW4	ABC superfamily (Membrane) Transport protein	Transport	Tra
Q7CQW5	Inner membrane protein	Other	Oth
Q7CQX6	Glycosyl transferase	Lipid and cell wall metabolism	Lpb
Q7CQX7	Cytoplasmic protein	Other	Oth
Q7CQX8	Phage integrase	Other	Oth
Q7CQX9	Cytoplasmic protein	Other	Oth
Q7CQY2	LexA regulated, putative SOS response	Other	Oth
Q7CQY7	PhoH-like protein	Other	Oth
Q7CQZ4	LysR family transcriptional regulator	Other	Oth
Q7CQZ5	RNA chaperone, negative regulator of cspA transcription	Translation and protein homeostasis	Rib
Q7CQZ8	Cytoplasmic protein	Other	Oth
Q7CR04	Periplasmic protein	Other	Oth
Q7CR06	Cytoplasmic protein	Other	Oth
Q7CR10	Uncharacterized ABC Transporter ATP-binding protein YbbA	Transport	Tra
Q7CR11	Oxidoreductase (EC 1.-.-.-)	Electron Transport chain	Etc
Q7CR12	Inner membrane protein YbbJ	Other	Oth
Q7CR13	Inner membrane protein	Other	Oth
Q7CR14	Inner membrane protein	Other	Oth
Q7CR15	AcrAB operon repressor (TetR/AcrR family)	Other	Oth
Q7CR16	Cytoplasmic protein	Other	Oth
Q7CR21	DNA-binding transcriptional activator DecR	Other	Oth
Q7CR23	Esterase	Lipid and cell wall metabolism	Lpb
Q7CR25	DNA-binding transcriptional regulator BolA	Other	Oth
Q7CR36	Inner membrane protein	Other	Oth
Q7CR37	Regulatory protein	Other	Oth
Q7CR38	VOC domain-containing protein	Other	Oth
Q7CR45	Induced by phosphate starvation	Other	Oth
Q7CR47	Inner membrane protein	Other	Oth
Q7CR49	Periplasmic protein	Other	Oth
Q7CR50	Cytoplasmic protein	Other	Oth
Q7CR53	Peptide chain release factor	Translation and protein homeostasis	Rib
Q7CR55	Homology to Shigella VirG protein	Flagellum and motility including its regulation	Fla
Q7CR56	Fimbriae subunit	Flagellum and motility including its regulation	Fla
Q7CR57	Cytoplasmic protein	Other	Oth
Q7CR64	UPF0325 protein YaeH	Other	Oth
Q7CR65	Inner membrane protein	Other	Oth
Q7CR72	Periplasmic protein	Other	Oth
Q7CR73	LysR family transcriptional regulator	Other	Oth
Q7CR74	Periplasmic protein	Other	Oth
Q7CR75	Outer membrane protein	Lipid and cell wall metabolism	Lpb
Q7CR79	Prelipin peptidase dependent protein	Lipid and cell wall metabolism	Lpb
Q7CR88	Secreted protein	Other	Oth
Q7CR89	Outer membrane lipoprotein	Lipid and cell wall metabolism	Lpb
Q7CR90	Transcriptional regulator of cai and fix operon	Other	Oth
Q7CR94	Cytoplasmic protein	Other	Oth
Q7CRA1	Positive sigma H regulator	Other	Oth
Q7CRA2	Regulatory protein	Other	Oth
Q7DAP0	Cytoplasmic protein	Other	Oth
Q7DAP1	Alpha-helical coiled coil protein	Other	Oth
Q7DAP4	Integrase protein	Other	Oth
Q7DAP8	Anti-FlhC(2)FlhD(4) factor YdiV	Flagellum and motility including its regulation	Fla
Q7DAP9	Resolvase	Other	Oth
Q7DAR1	Replication of plasmid	Other	Oth
Q8KNN5	YsdA	Other	Oth
Q8RSN8	Putative Transporter protein	Transport	Tra
Q8XEK9	Permease	Transport	Tra
Q8XEU4	YbbM family Transport protein, metal resistance protein	Transport	Tra
Q8XEY4	Cytoplasmic protein	Other	Oth
Q8XEZ2	Gifsy-1 prophage protein (Gifsy-2 prophage putative regulatory protein)	Other	Oth
Q8XF26	Gifsy-1 prophage protein (Gifsy-2 prophage exodeoxyribonuclease)	Other	Oth
Q8XF29	Fels-2 prophage protein	Other	Oth
Q8XFJ8	Cytoplasmic protein (Gifsy-2 prophage protein)	Other	Oth
Q8XGS7	Gifsy-1 prophage protein (Gifsy-2 prophage protein)	Other	Oth
Q8ZJT7	Periplasmic protein	Other	Oth
Q8ZJT8	Inner membrane protein	Other	Oth
Q8ZJT9	Fimbrial chaparone protein	Flagellum and motility including its regulation	Fla
Q8ZJU2	Fimbrial subunit	Flagellum and motility including its regulation	Fla
Q8ZJU3	Major fimbrial subunit	Flagellum and motility including its regulation	Fla
Q8ZJU4	Tolerance to colicin E2 protein	Other	Oth
Q8ZJV2	Outer membrane protein	Lipid and cell wall metabolism	Lpb
Q8ZJV3	Outer membrane protein	Lipid and cell wall metabolism	Lpb
Q8ZJV4	Fimbrial chaparone protein	Flagellum and motility including its regulation	Fla
Q8ZJV5	Fimbrial usher protein	Flagellum and motility including its regulation	Fla
Q8ZJV6	Outer membrane protein	Lipid and cell wall metabolism	Lpb
Q8ZJV9	Cytoplasmic protein	Other	Oth
Q8ZJW0	Pyruvate formate lyase activating enzyme	Carbon metabolism	Cbn
Q8ZJW1	Hydrolase	Other	Oth
Q8ZJW2	Phosphoesterase	Carbon metabolism	Cbn
Q8ZJW7	Inner membrane protein	Other	Oth
Q8ZJW9	Ferric hydrozamate Transport protein	Transport	Tra
Q8ZJX0	Cytoplasmic protein	Other	Oth
Q8ZJX1	Transcriptional regulator (Activator) of bgl operon	Other	Oth
Q8ZJX2	LuxR/UhpA family transcriptional regulator	Other	Oth
Q8ZJX3	Membrane protein	Other	Oth
Q8ZJX7	Glucosamine-fructose-6-phosphate aminotransferase	Carbon metabolism	Cbn
Q8ZJX8	Glucosamine-fructose-6-phosphate aminotransferase	Carbon metabolism	Cbn
Q8ZJY3	NtrC family transcriptional regulator, ATPase domain protein	Other	Oth
Q8ZJY6	Cobalamin synthesis protein	Other	Oth
Q8ZJY7	Restriction of methylated adenine	Other	Oth
Q8ZJZ0	Inner membrane protein	Other	Oth
Q8ZJZ1	Cytoplasmic protein	Other	Oth
Q8ZJZ2	Cytoplasmic protein	Other	Oth
Q8ZJZ4	Inner membrane protein	Other	Oth
Q8ZJZ5	Inner membrane protein	Other	Oth
Q8ZJZ6	Sugar Transporter	Transport	Tra
Q8ZJZ7	Inner membrane protein	Other	Oth
Q8ZK01	Transcriptional repressor for uxu operon	Other	Oth
Q8ZK02	Dienelactone hydrolase	Carbon metabolism	Cbn
Q8ZK03	Inner membrane protein or exported	Other	Oth
Q8ZK04	Cytoplasmic protein	Other	Oth
Q8ZK05	Inner membrane protein	Other	Oth
